t;x;y;q
1206;-9.4;-23.5;-2.2
1208;-9.1;-23.7;-1.4
1210;-8.2;-23.2;-1.5
1212;-8;-22.5;-1.8
1214;-7.5;-22.9;-1.1
1216;-7.5;-22.3;-2.1
1218;-7.5;-22.2;-1.5
1220;-7.1;-21.7;-1.5
1222;-7.4;-21.5;-1.8
1224;-7.2;-21.2;-1.7
1226;-7.4;-20.6;-0.9
1228;-7.5;-20.3;-2.1
1230;-7.3;-20;-2.1
1232;-7.2;-19.8;-1.1
1234;-7.1;-19;-2.1
1236;-7.2;-18.8;-1.5
1238;-7.1;-18.3;-1.2
1240;-7.1;-18.2;-1.9
1242;-7.3;-17.8;-2
1244;-7.3;-17.8;-1.7
1246;-7.4;-17;-1.7
1248;-7.4;-17.3;-1.9
1250;-7.4;-16.7;-1.6
1252;-7.4;-17;-2.1
1254;-7.4;-16.7;-1.6
1256;-7.4;-16.5;-1.5
1258;-7;-15.3;-1.8
1260;-7;-15.9;-1.6
1262;-7.1;-15.4;-1.7
1264;-6.7;-15.2;-2
1266;-6.4;-15.1;-1.3
1268;-6.4;-14.9;-1.7
1270;-6.4;-14;-2
1272;-6.2;-14.9;-1.6
1274;-5.8;-13.8;-1.6
1276;-5.5;-13.2;-1.4
1278;-4.9;-13.2;-1.7
1280;-4.7;-12.6;-1.3
1282;-4;-12.1;-1.5
1284;-3.7;-11.3;-1.8
1286;-3;-10.2;-1.5
1288;-2.6;-10.3;-1.6
1290;-2.2;-8.5;-1.9
1292;-1.4;-8.4;-1.5
1294;-0.8;-7.3;-1.2
1296;-0.1;-7.4;-2.3
1298;0.4;-5.5;-1.6
1300;0.7;-6.1;-1.6
1302;1.2;-5.3;-2.2
1304;1.6;-5.3;-1
1306;2.3;-5.1;-2.1
1308;2.9;-4.5;-1.5
1310;3.4;-5.3;-1.2
1312;3.7;-5.5;-2.5
1314;4.5;-6.1;-1.1
1316;4.7;-7;-1.7
1318;5.3;-7.2;-2.3
1320;5.2;-5.9;-0.9
1322;5;-6.7;-2.1
1324;4.8;-5.1;-2.1
1326;4.4;-3.9;-0.7
1328;3.5;-2.8;-2.2
1330;2.7;-2.1;-1.7
1332;1.8;-1.1;-0.9
1334;1.2;0.3;-2.6
1336;0.4;0.9;-1
1338;0.5;2.7;-1.7
1340;0.7;3.1;-2.3
1342;1.1;3.3;-1
1344;2.2;3.9;-1.9
1346;3.7;3.1;-2
1348;4.9;2.6;-1.7
1350;6;1.3;-1.7
1352;6.9;0.6;-2.2
1354;8.3;1.4;-1.4
1356;9.2;1.9;-1.4
1358;10;3.3;-2
1360;10.6;3.2;-1.8
1362;11.5;5.8;-1.6
1364;11.2;9.9;-1.5
1366;11.3;6.8;-1.6
1368;10.7;9.2;-1.8
1370;8.6;9.3;-1.7
1372;8.2;7.8;-1.6
1374;7.3;6.4;-1.8
1376;8.1;7.4;-1.8
1378;9;7.2;-1.8
1380;10;8.8;-1.5
1382;12.2;11;-1.6
1384;14.2;11.4;-1.7
1386;16.2;14.9;-1.3
1388;17.4;14.6;-1.6
1390;18.9;15.3;-2
1392;19.1;14.5;-1.3
1394;19;12.4;-1.4
1396;18.2;12.9;-2.2
1398;17.4;12.2;-1.5
1400;15.8;14.9;-1.7
1402;15.2;17;-2
1404;15.6;20.9;-0.9
1406;16.4;21.6;-1.7
1408;18.4;23.2;-2.1
1410;20;22.2;-0.7
1412;21.8;19.8;-2.4
1414;22.8;18.4;-1.8
1416;23.7;20.4;-1.1
1418;23.9;20.6;-1.8
1420;22;22.7;-1.6
1422;21.2;25.5;-2
1424;20.5;24.4;-1.4
1426;21;25.2;-1.4
1428;21.9;20.4;-2
