t;x;y;q
506;-13.7;-34.5;-2.2
508;-13.6;-36;-1.2
510;-13.6;-35.6;-1.3
512;-13.6;-33.9;-1.7
514;-13.6;-34;-1.2
516;-13.8;-34.8;-1.5
518;-14;-36;-2.1
520;-13.8;-35.7;-1.2
522;-13.7;-34.3;-1.5
524;-13.5;-34.1;-1.9
526;-13.6;-34.9;-1.5
528;-13.8;-35.5;-1.6
530;-13.8;-35.7;-1.4
532;-13.5;-34.2;-1
534;-13.7;-33.9;-1.6
536;-13.7;-34.9;-1.6
538;-13.9;-35.7;-0.9
540;-13.5;-35.1;-1.4
542;-13.6;-34.4;-1.7
544;-13.7;-34;-1.1
546;-13.7;-34.9;-1.4
548;-13.4;-35.4;-1.7
550;-13.6;-35.3;-1.1
552;-13.8;-34.8;-1.9
554;-13.6;-33.8;-1.7
556;-13.7;-34;-1.3
558;-13.6;-35.2;-1.6
560;-13.6;-35.5;-1.3
562;-13.4;-34.8;-1.6
564;-13.4;-33.9;-2
566;-13.5;-34.3;-1.2
568;-13.7;-34.9;-1.8
570;-13.5;-35.4;-1.6
572;-13.5;-34.5;-1
574;-13.6;-34.3;-1.5
576;-13.7;-34.4;-1.5
578;-13.5;-34.8;-1.1
580;-13.5;-35.7;-1.9
582;-13.5;-34.6;-1.5
584;-13.8;-34.8;-1.1
586;-13.6;-34.7;-2
588;-13.6;-35;-1.2
590;-13.7;-35.5;-1.1
592;-13.6;-34.9;-2.2
594;-13.7;-34.7;-1.2
596;-13.4;-33.9;-1.5
598;-14.1;-35.1;-1.7
600;-13.8;-35.8;-1.1
602;-13.7;-35.3;-1.6
604;-13.6;-34.6;-1.8
606;-13.5;-34.2;-1.2
608;-13.9;-34.9;-2
610;-13.5;-35;-1.7
612;-14;-35.9;-1.4
614;-13.9;-35.3;-1.8
616;-13.5;-34.2;-0.9
618;-13.7;-34.2;-1.4
620;-13.8;-35.2;-1.7
622;-13.5;-35.1;-1.4
624;-13.7;-35;-1.5
626;-13.7;-34.1;-1.5
628;-14.1;-34.6;-1.2
630;-13.5;-34.5;-1.5
632;-13.8;-35.8;-1.5
634;-13.5;-35.3;-1.4
636;-13.7;-34.3;-1.5
638;-13.7;-34.3;-1.7
640;-13.6;-34.4;-1.6
642;-13.9;-36.1;-1.2
644;-13.9;-35.7;-1.3
646;-13.5;-34.3;-1.4
648;-14.1;-34.5;-1.5
650;-13.9;-34.8;-1.6
652;-13.6;-34.9;-1.4
654;-13.7;-35;-1.3
656;-13.8;-34.4;-1.3
658;-13.6;-34.1;-1.4
660;-14;-34.4;-1.5
662;-14;-35.8;-1.5
664;-13.6;-35.3;-1.4
666;-13.7;-34.7;-1.8
668;-13.9;-34.2;-1.4
670;-13.7;-34.4;-1.2
672;-13.8;-35.4;-1.9
674;-13.9;-35.9;-1.3
676;-13.9;-35.4;-1
678;-13.7;-34.4;-1.8
680;-13.6;-33.7;-1.3
682;-13.6;-34.7;-1.3
684;-13.8;-35.3;-2.3
686;-13.6;-35;-1.5
688;-13.6;-34.3;-1.5
690;-13.6;-34.2;-1.6
692;-13.4;-34.4;-1.5
694;-13.8;-35.6;-1.6
696;-13.5;-35.2;-1.5
698;-13.8;-34.8;-1.4
700;-13.7;-34;-1.9
702;-13.8;-34.1;-1.1
704;-13.7;-34.7;-1.5
706;-13.7;-35.5;-1.7
708;-13.9;-35.5;-1.1
710;-13.5;-33.9;-1.7
712;-13.6;-33.9;-1.4
714;-13.5;-34.5;-1.4
716;-13.6;-35.1;-2
718;-13.5;-35.3;-1.1
720;-14;-34.8;-1.4
722;-13.6;-33.9;-1.5
724;-13.6;-34.7;-1.7
726;-13.9;-35.7;-1.7
728;-13.7;-34.9;-1.2
730;-13.9;-34.8;-1.7
732;-13.8;-34.4;-1.7
734;-13.6;-34.7;-0.7
736;-13.8;-35.5;-1.8
738;-13.6;-35.8;-1.4
740;-13.8;-34.7;-1.2
742;-13.6;-33.5;-2
744;-13.4;-34.2;-1.2
746;-14;-35.9;-1.2
748;-13.7;-35.2;-1.7
750;-13.9;-35;-1.1
752;-14;-34.2;-1.3
754;-13.4;-34.3;-1.7
756;-13.6;-35.1;-1.2
758;-13.6;-35.4;-1.3
760;-13.8;-35.3;-1.7
762;-13.5;-34;-1.2
764;-13.6;-34.4;-1.4
766;-13.8;-35.5;-1.6
768;-13.8;-35.8;-1.5
770;-13.5;-34.8;-1.9
772;-13.7;-33.9;-1.4
774;-13.6;-34.2;-1.6
776;-13.7;-34.9;-1.6
778;-13.7;-35;-1.2
780;-13.5;-34.7;-1.7
782;-13.6;-34.6;-1.4
784;-13.5;-34;-1.2
786;-13.6;-34.7;-2
788;-13.9;-35.2;-1.4
790;-13.7;-35.2;-1
792;-13.9;-35.4;-2.1
794;-13.7;-34.8;-1.7
796;-13.6;-34;-0.9
798;-13.8;-34.9;-2.1
800;-13.9;-35.8;-1.4
802;-13.6;-35.1;-1.1
804;-13.7;-34.9;-2
806;-13.5;-33.9;-1.4
808;-13.7;-34.2;-1.3
810;-13.5;-35;-1.5
812;-13.6;-35.3;-1.5
814;-13.6;-34.6;-1.3
816;-13.6;-33.7;-1.4
818;-13.9;-34.7;-1.6
820;-13.6;-34.9;-1.4
822;-13.8;-35.6;-1.8
824;-13.5;-35.1;-1.8
